Company Name,Headquarter Location,Employee Count Range,Founding Type,Type of a Company,Company Rank,Total Funding Amount,Number of Contacts,Number of Employee Profiles,List of Employee Profiles,Industries,Founded Date,Company Type,Contact Email,Contact Phone
 Epi ," Milano,  Lombardia,  Italy",_51-100,undisclosed,For Profit,"677,782",undisclosed,undisclosed,1,['https://www.crunchbase.com/person/raoul-meroni'],,,,,
 Fanatics ," Jacksonville,  Florida,  United States",_5001-10000,Private Equity,For Profit,"7,730",$4.9B,"1,291",32,"['https://www.crunchbase.com/person/matt-madrigal', 'https://www.crunchbase.com/person/ross-tannenbaum', 'https://www.crunchbase.com/person/jason-white-741b', 'https://www.crunchbase.com/person/keith-zimmerman', 'https://www.crunchbase.com/person/gina-sprenger', 'https://www.crunchbase.com/person/sam-hewitt', 'https://www.crunchbase.com/person/brendan-mcquillan', 'https://www.crunchbase.com/person/michael-r-conn']",,,,,
 Asbury Carbons ," Asbury,  New Jersey,  United States",_101-250,undisclosed,For Profit,"234,784",undisclosed,55,1,['https://www.crunchbase.com/person/patrick-sook'],,,,,
 Mill Rock Capital ," New York,  United States",_11-50,undisclosed,undisclosed,undisclosed,undisclosed,undisclosed,2,"['https://www.crunchbase.com/person/christopher-whalen-fa03', 'https://www.crunchbase.com/person/bob-feeser']",,,,,
 Salary Finance ," London,  England,  United Kingdom",_101-250,Debt Financing,For Profit,"2,233",$288.8M,101,6,"['https://www.crunchbase.com/person/asesh-sarkar', 'https://www.crunchbase.com/person/daniel-shakhani', 'https://www.crunchbase.com/person/dan-cobley', 'https://www.crunchbase.com/person/bernie-hickman', 'https://www.crunchbase.com/person/anita-ward', 'https://www.crunchbase.com/person/daniel-macklin']",,,,,
 FinFit ," Virginia Beach,  Virginia,  United States",_51-100,Series B,For Profit,"8,946",$42M,39,7,"['https://www.crunchbase.com/person/pete-ostberg', 'https://www.crunchbase.com/person/bill-hall-ae74', 'https://www.crunchbase.com/person/paul-grosch', 'https://www.crunchbase.com/person/jennifer-m-creech', 'https://www.crunchbase.com/person/david-kilby', 'https://www.crunchbase.com/person/matthew-fahy', 'https://www.crunchbase.com/person/kristen-stringer']",,,,,
 MyInsuranceClub ," Mumbai,  Maharashtra,  India",_11-50,undisclosed,For Profit,"212,382",undisclosed,1,2,"['https://www.crunchbase.com/person/manoj-aswani', 'https://www.crunchbase.com/person/deepak-yohannan']",,,,,
 Religare ," New Delhi,  Delhi,  India",_5001-10000,undisclosed,For Profit,undisclosed,undisclosed,936,3,"['https://www.crunchbase.com/person/nitin-aggarwal-4396', 'https://www.crunchbase.com/person/subhrangshu-neogi', 'https://www.crunchbase.com/person/rishi-sharma-3']",,,,,
 Aero Centers ," Lakeland,  Florida,  United States",_11-50,undisclosed,For Profit,"330,517",undisclosed,43,1,['https://www.crunchbase.com/person/pat-epps'],,,,,
 SAR Trilogy Management ," Windermere,  Florida,  United States",_1-10,undisclosed,For Profit,"651,975",undisclosed,2,1,['https://www.crunchbase.com/person/s-michael-scheeringa'],,,,,
 iGLASS Networks ," Cary,  North Carolina,  United States",_11-50,undisclosed,For Profit,"258,698",undisclosed,10,4,"['https://www.crunchbase.com/person/george-woodring', 'https://www.crunchbase.com/person/david-nizen-2', 'https://www.crunchbase.com/person/jack-woodring', 'https://www.crunchbase.com/person/timothy-bolden']",,,,,
 20 South Partners ," Lenexa,  Kansas,  United States",_1-10,undisclosed,For Profit,undisclosed,undisclosed,undisclosed,undisclosed,undisclosed,,,,,
 Zanotta ," Nova Milanese,  Lombardia,  Italy",_101-250,undisclosed,For Profit,"1,456,137",undisclosed,2,undisclosed,undisclosed,,,,,
 Cassina ," Meda,  Veneto,  Italy",_101-250,Private Equity,For Profit,"459,941",undisclosed,5,undisclosed,undisclosed,,,,,
 Fox Pest Control ," Logan,  Utah,  United States",_51-100,undisclosed,For Profit,"183,618",undisclosed,112,1,['https://www.crunchbase.com/person/mike-romney'],,,,,
 Rollins ," Atlanta,  Georgia,  United States",_10001+,undisclosed,For Profit,"165,814",undisclosed,684,4,"['https://www.crunchbase.com/person/o-wayne-rollins', 'https://www.crunchbase.com/person/gary-w-rollins', 'https://www.crunchbase.com/person/john-w-collins', 'https://www.crunchbase.com/person/kenneth-krause-0583']",,,,,
